id,invoice_number,sales_order_id,customer_id,invoice_date,due_date,subtotal,vat_amount,total_amount,amount_paid,payment_status,currency,created_at
74cf6a74-c67c-4365-a3d2-1a8c44b66491,INV-000001,cbab9e9a-a05f-4108-ab65-4234e2c03c1b,a2d2d5a1-401b-4a0c-8aac-decf5e9607f4,2024-06-23,2024-08-07,570640565.06,42798042.38,613438607.44,613438607.44,Paid,NGN,2026-02-23 10:54:51.463560
e2c5f2d5-ad3b-4c6f-a618-ed4541467cf2,INV-000002,2a149b01-3a38-4585-918b-e865c309dc0f,9b5437db-1480-4770-9a5a-ef3ebee7c409,2025-03-03,2025-04-02,183858929.23,13789419.69,197648348.92,0,Unpaid,NGN,2026-02-23 10:54:51.463719
bd3149a1-c8fd-4a73-92ad-eabe6e648a5e,INV-000003,b5b93f07-b2ec-4aba-99e2-7a28518a76ac,f5b6aa92-888f-4bed-a1be-366d568a7e2a,2024-01-23,2024-02-22,63575234.120000005,4768142.56,68343376.68,0,Unpaid,NGN,2026-02-23 10:54:51.463770
53d0bcf8-9106-4426-87b7-b9ffa0250011,INV-000004,7865f04a-5a37-42ee-8681-34888498afa9,a936c0a1-7579-4b02-b818-cb29deb3689b,2024-12-18,2025-01-02,42685066.6,3201380.0,45886446.6,45886446.6,Paid,NGN,2026-02-23 10:54:51.463803
a200f4e3-39c5-4db9-ae14-244d1dc2d999,INV-000005,227a7c83-66a1-4ab8-8473-9aa3d1829926,8e3efc2d-4843-47a5-92ae-96238147bc30,2025-04-18,2025-05-03,7899389.64,592454.22,8491843.86,8491843.86,Paid,NGN,2026-02-23 10:54:51.463840
ed80f982-2b15-4b18-9bb0-eda266338e1c,INV-000006,594d9e02-7829-4a36-bfee-059669c57d5e,50d37628-f6a8-427d-b6f6-957ab77bc38c,2024-06-11,2024-07-26,401307856.55999994,30098089.24,431405945.8,207213638.66,Partially Paid,NGN,2026-02-23 10:54:51.463930
a7ca24fa-86f0-4658-b75a-8cb23064680c,INV-000007,ba478cc9-92ae-4f33-b9f5-0d22531e1595,9ba80749-9466-4cb0-97ca-7d747f34fed9,2024-09-10,2024-10-25,459549641.55,34466223.12,494015864.67,390752944.84,Partially Paid,NGN,2026-02-23 10:54:51.463997
b1ac8915-fa0d-4828-83e5-9318bee7bc0f,INV-000008,3726f118-983a-40ea-baa9-3d68cb2c6eb9,a933b5ef-65f7-4d62-8e1b-fe523f7199cd,2025-03-22,2025-04-21,438504986.01,32887873.95,471392859.96,246583024.33,Partially Paid,NGN,2026-02-23 10:54:51.464109
59661081-b7d3-4e2f-8753-7939b7fce275,INV-000009,365a4503-3360-47d3-9743-aadc67d75e0e,824900e9-b58b-484d-b397-6e812e40db57,2025-06-11,2025-06-26,231432012.07000002,17357400.91,248789412.98,0,Unpaid,NGN,2026-02-23 10:54:51.464225
5aed1d12-f2a0-40cc-b8e5-fb408e8134a6,INV-000010,8bc378c5-fd83-48e4-ad28-d21a37925bc2,9c3ba466-1039-47f3-aed6-813a056ce0bf,2025-01-16,2025-03-02,467977380.76,35098303.56,503075684.32,0,Unpaid,NGN,2026-02-23 10:54:51.464309
3da09818-b568-47f1-b86a-c461f79620b0,INV-000011,b846da39-ba5a-4829-a7be-afd4fd5edda1,fbbcc329-bbf8-413a-913d-e063e3986145,2024-07-20,2024-09-18,69175196.59,5188139.74,74363336.33,74363336.33,Paid,NGN,2026-02-23 10:54:51.464366
8f0dd741-50d9-4129-9ff0-42e86e0cde5c,INV-000012,a2aa88c1-8757-4a0d-a394-01f34bc57f05,5ad63bcf-45ab-4ce1-8493-dae6b207b136,2024-02-04,2024-04-04,103153950.04,7736546.25,110890496.29,110890496.29,Paid,NGN,2026-02-23 10:54:51.464485
44ef0436-303b-4a22-80cd-62cd1a363b97,INV-000013,8452428b-0e2e-4794-853f-68cacfae91bd,93955947-52ad-4d8e-8c59-cffa7bd711ea,2024-10-21,2024-12-05,22387558.3,1679066.87,24066625.17,0,Overdue,NGN,2026-02-23 10:54:51.464524
9639765d-aa29-499d-b382-8d8a7449ed55,INV-000014,e561ca27-e4ea-4efd-ac93-86a4a35392a2,6a6df1a9-a481-44d0-9d34-b5d626bdb049,2025-01-31,2025-03-02,230454462.82999998,17284084.71,247738547.54,0,Overdue,NGN,2026-02-23 10:54:51.464625
c3a51030-d3f3-438d-97e2-3ad441d77b5f,INV-000015,97c5d980-633b-4af0-8d37-ae927d75ec19,646f2651-62f9-4f12-b848-57dedf9153e2,2025-08-16,2025-08-31,236579936.22000003,17743495.22,254323431.44,0,Unpaid,NGN,2026-02-23 10:54:51.464691
