id,po_number,pr_id,vendor_id,order_date,status,subtotal,vat_amount,total_amount,currency,created_at
f24c1b32-429d-42a1-b1d7-0879232993c3,PO-00001,901c4bca-fc91-424d-a571-0c99396c2710,86d0c148-e5cb-4fbf-a3fd-1d45c14d911b,2025-01-12,Cancelled,264865361.64,19864902.12,284730263.76,NGN,2026-02-23 10:54:51.772337
6483216a-ffac-4cfb-b538-c9d8506a2e74,PO-00002,c3c7dbbd-53e5-4afd-a98d-119f95c3da35,9e6faa89-dd7d-4795-bcfc-0afa70eb42e9,2024-02-23,Cancelled,227512250.20000002,17063418.77,244575668.97,NGN,2026-02-23 10:54:51.772405
89637ab2-1685-4a82-be20-14f4f8029dc3,PO-00003,da19c252-27e6-431a-b052-ad85b0d6caad,9d6ab3e7-1834-4248-9ef5-0064761bac46,2025-09-25,Cancelled,1137224216.48,85291816.24,1222516032.72,NGN,2026-02-23 10:54:51.772490
60f51576-7818-4c55-b72c-719a8679e964,PO-00004,3dbcc099-56e2-4ee2-a574-92f3df59bcff,21c11843-4f02-45c5-bf7e-e6a25f0f6a7f,2024-06-01,Ordered,294334657.78,22075099.33,316409757.11,NGN,2026-02-23 10:54:51.772545
1255a1fa-9a2b-4b62-872b-93f478387063,PO-00005,bfd85f3d-87b2-497e-b2ca-fd8d26045951,f6541db5-9502-41b1-b3eb-47860721414a,2024-05-14,Received,732627132.0899999,54947034.91,787574167.0,NGN,2026-02-23 10:54:51.772606
9eaf7317-0de5-4395-bece-46c4291462ed,PO-00006,bffe815d-699e-4420-ae5f-33f739aa5930,5f30f40f-34d2-40f2-8e3d-a85399d60056,2025-01-24,Received,602833929.68,45212544.73,648046474.41,NGN,2026-02-23 10:54:51.772665
1bc17918-31a7-4bf6-968b-862628de7f9c,PO-00007,fc0fcdce-1e5f-49ce-bda4-12a797811f60,4183051f-2389-4a7a-8cfb-0522b171e130,2025-12-03,Cancelled,431774916.12,32383118.71,464158034.83,NGN,2026-02-23 10:54:51.772719
bd856fe7-77ba-4d9d-97bf-d2b16413f93f,PO-00008,d62d0496-8b18-4d23-9013-3298a1abfff2,cb086d8c-420c-4715-ac6b-a1fab326ca98,2024-06-02,Cancelled,230065425.59,17254906.92,247320332.51,NGN,2026-02-23 10:54:51.772748
3512ade8-cdd3-4e54-86fd-c0220b37b7a0,PO-00009,4f0a5b41-2243-4ba2-9721-bd8c3b6f7dd9,6fd68e05-a1e6-4fea-b5f3-673dd6c32aa9,2025-12-23,Received,186060144.92,13954510.87,200014655.79,NGN,2026-02-23 10:54:51.772810
db239fcc-c504-4ec0-8d03-96fe990079f9,PO-00010,3299e27c-6d4f-4ac8-a978-a19dfb6bd7c9,4d98decf-fcb8-4daf-85bd-7be34f7b1510,2025-05-07,Received,153286849.95,11496513.75,164783363.7,NGN,2026-02-23 10:54:51.772845
b5e48619-e3a1-4cb2-8e3e-3c3cf8d482ee,PO-00011,f02214b7-0571-417c-be3d-d72cbf867a0e,cb086d8c-420c-4715-ac6b-a1fab326ca98,2025-08-23,Ordered,912159801.3900001,68411985.1,980571786.49,NGN,2026-02-23 10:54:51.772942
fe06680a-89a0-41b1-98f8-ffcdfcbf22d8,PO-00012,641f5739-2f76-4f5c-8bd2-1dcb9dea2756,1d45caf1-8721-4598-a0cc-a3754fbc0b96,2024-07-27,Ordered,519952331.65,38996424.87,558948756.52,NGN,2026-02-23 10:54:51.773016
2b0bbb40-f07c-4334-9fcf-e91bf3b0a64c,PO-00013,da7901e7-d7b5-42a0-a242-936366cafb29,01882270-3ea2-44e0-8f1d-af3a1e3012cb,2024-03-12,Partially Received,214479381.48,16085953.61,230565335.09,NGN,2026-02-23 10:54:51.773056
5550477a-7776-41ad-a823-1831aec1a13b,PO-00014,11dd9085-491b-4398-8555-e0d8c2f172a4,50add11d-b254-49f8-906d-5ffdf53b51cb,2025-05-14,Ordered,130532304.84,9789922.86,140322227.7,NGN,2026-02-23 10:54:51.773121
d3038612-7b1d-481d-b1d8-ef9d5308e312,PO-00015,6406d1ba-469c-4188-8602-ed7f701e3ddc,c20737cc-c63a-4880-8ad3-31b76a98bb60,2024-05-18,Received,498839269.55999994,37412945.22,536252214.78,NGN,2026-02-23 10:54:51.773182
9c97d376-ab42-4143-8547-a581ff532bc0,PO-00016,382d8ae5-bb03-4a8d-ad21-a7a05974ea99,8cc0fb07-0896-4ceb-afae-acee3e3d7f68,2024-09-19,Received,365939133.39,27445435.0,393384568.39,NGN,2026-02-23 10:54:51.773243
d92ccee3-5f93-47b8-875e-009a43b59857,PO-00017,00f5f03e-230b-4eda-a815-473d491994d6,ae41cd2f-2b37-4235-98fe-3fa814d6bae8,2024-09-17,Received,565914449.97,42443583.75,608358033.72,NGN,2026-02-23 10:54:51.773331
75223526-a9c1-4a93-8a40-c85722bfcc5b,PO-00018,65319346-1769-4892-9cf0-e538a9ffb266,cb086d8c-420c-4715-ac6b-a1fab326ca98,2024-10-30,Received,449072972.41999996,33680472.93,482753445.35,NGN,2026-02-23 10:54:51.773394
150ffcf8-49de-438d-8c5f-17edf09fb0b0,PO-00019,d4549f69-1f4c-44f7-8af0-069467bc25ec,770e9b28-9999-4655-9615-85c3b5b319cc,2025-12-08,Received,190397077.38,14279780.8,204676858.18,NGN,2026-02-23 10:54:51.773446
cdfe455d-a7ce-4a21-afba-49b12718fba8,PO-00020,3decfb39-f707-4f8e-990f-72a0c34fc218,4f87e6dc-c39d-484f-a7c2-87b9000cd11c,2025-05-13,Cancelled,680006249.0699999,51000468.68,731006717.75,NGN,2026-02-23 10:54:51.773492
4de7a695-2905-47ec-abc9-7f41014a4b0c,PO-00021,776aee3b-6b60-4994-8cc7-a71e042efaf3,83c81921-274b-48d4-b872-066fe01ea8b2,2024-05-06,Ordered,337371288.24,25302846.62,362674134.86,NGN,2026-02-23 10:54:51.773522
b1292c75-c2ef-45ac-9c41-f8712083d5b8,PO-00022,ac7d02f7-f1fa-4323-9351-7387cc68e42a,4724900c-254d-4f31-8cc7-1dab420bb4eb,2024-10-22,Received,1091797261.25,81884794.59,1173682055.84,NGN,2026-02-23 10:54:51.773617
4566750b-4754-4f25-baf4-ad0c0e3fb9b8,PO-00023,cc1f236f-5a29-4443-afc3-0d8f518a35e1,b84bc9bf-96f5-4f5d-b409-6c47933112d4,2024-03-19,Partially Received,105422286.16,7906671.46,113328957.62,NGN,2026-02-23 10:54:51.773655
fdb7ed97-4cb1-4d81-8eec-e94696c4dbbf,PO-00024,902f0bdf-1534-438d-8455-4df83be0d2f4,979aeb25-d3e2-45d5-b523-ed659d7601f6,2024-02-15,Received,300722402.99,22554180.22,323276583.21,NGN,2026-02-23 10:54:51.773764
cd378e9d-bdd7-4303-bd87-66fe373cfd6d,PO-00025,7941b92a-6180-432f-b3a2-7e5cfbb0f7c4,d46a4b97-d08a-41ae-81f4-81f82bcfaf1b,2024-08-06,Ordered,9221688.4,691626.63,9913315.03,NGN,2026-02-23 10:54:51.773801
cf570338-5556-4e55-b25f-e67b2cce028b,PO-00026,743ef2b5-dfbb-4533-9b6a-b1c71d2e9195,1b7e2824-b926-4f3f-9136-dbae7da24d23,2025-02-08,Received,332568779.3,24942658.45,357511437.75,NGN,2026-02-23 10:54:51.773869
d0c2b84c-fe2d-470d-896a-02940401d979,PO-00027,857e8532-55e2-4ae3-b986-021dba4af648,5ddeb406-253a-493e-be05-73e4ed6e5709,2025-07-18,Received,116053534.03999999,8704015.05,124757549.09,NGN,2026-02-23 10:54:51.773912
c048956e-0ea0-4016-86a9-cc55c137ea0f,PO-00028,577070f2-b3d1-48ad-8eb7-052760f96833,80c778f0-c34a-4e07-9a1d-6ae24d175243,2025-02-01,Cancelled,520031432.59,39002357.44,559033790.03,NGN,2026-02-23 10:54:51.773984
d4e94668-1003-45db-b113-bc11bd700deb,PO-00029,19e22386-95ba-4a4c-8cfb-18a739218772,28e3efd0-e7b5-489f-b27c-6cda8e50a1d1,2024-09-22,Cancelled,724313085.6500001,54323481.42,778636567.07,NGN,2026-02-23 10:54:51.774086
0884e439-b770-40ea-9895-d16271ea2695,PO-00030,7188b151-3f13-4c78-8629-316dbd0a7e38,004d6b73-e5a7-4227-84a0-944f1aa2e643,2025-10-03,Cancelled,678514574.44,50888593.08,729403167.52,NGN,2026-02-23 10:54:51.774172
bf8899e7-321f-4967-9f82-4ee75b902ede,PO-00031,661fcf19-0982-4942-a1a5-7bb148d8203d,52f9904b-a6b6-4f34-91e2-19437e360c35,2025-09-09,Received,918863499.0000001,68914762.43,987778261.43,NGN,2026-02-23 10:54:51.774257
0c10e812-12df-4166-874d-df1e1e9f37cc,PO-00032,ad9e2c4a-2095-4c81-a89c-1159fe7bf959,fc7d9a0a-a8f5-46cf-a58a-e163f1c1afe5,2024-05-16,Cancelled,860631544.72,64547365.85,925178910.57,NGN,2026-02-23 10:54:51.774392
6fc2d197-004c-4b39-9a09-a55470c7cc4b,PO-00033,ece6946d-0781-4be6-b490-78d230d39ba3,b537702a-513d-4323-8ba6-1c8387f004b5,2025-06-13,Ordered,40954762.01,3071607.15,44026369.16,NGN,2026-02-23 10:54:51.774438
140369b2-62b8-4ec8-97ea-e756d52c7ec6,PO-00034,6bf536da-5ace-45fe-8a81-e71d0d611f73,911b8562-98e4-4368-b00c-d22273eaf319,2025-04-01,Received,361226278.24,27091970.87,388318249.11,NGN,2026-02-23 10:54:51.774503
e50cd0d8-182b-408d-b477-fd9fdd988ec0,PO-00035,54ec9df4-6fab-4d12-8295-e41578c1e32d,67397338-1c4c-4ef4-a5b6-06260be42ca3,2025-10-30,Cancelled,242456126.25,18184209.47,260640335.72,NGN,2026-02-23 10:54:51.774533
d6222662-48a2-4e05-ac30-337db3fc5996,PO-00036,c6e125be-67a6-4678-ba23-95c26ed20f31,e7eccb72-6441-4b8d-be2e-e568822fab60,2024-01-12,Received,681279059.98,51095929.5,732374989.48,NGN,2026-02-23 10:54:51.774578
7d2abd8f-cc1b-4a63-a88c-205a8aa041bc,PO-00037,d40ba87c-510a-4c0a-9b5d-80fff049e894,b7050f13-05d4-4b06-8ad3-f326aee06b85,2024-10-12,Received,643070534.16,48230290.06,691300824.22,NGN,2026-02-23 10:54:51.774632
474c9bc6-d122-4615-89a6-623dc09a5fb5,PO-00038,fc05116b-aa8d-41c2-8d79-7e3c95be6f6f,7d238362-e985-4c1f-b9b5-18f55b8671ae,2025-10-28,Ordered,920384407.0799999,69028830.53,989413237.61,NGN,2026-02-23 10:54:51.774694
d3bacfd5-4662-4097-8d9c-8503e19d1f3f,PO-00039,f897d96f-3e29-4f9a-8740-f8b31662b3cb,adb1307a-96ac-450b-bf90-73005bd9abd6,2024-10-19,Partially Received,132929692.4,9969726.93,142899419.33,NGN,2026-02-23 10:54:51.774760
