id,purchase_order_id,item_id,item_name,quantity,unit_price,line_total,line_number
f03fef0d-acfa-4a27-99e6-3dc1c09d4caa,f24c1b32-429d-42a1-b1d7-0879232993c3,d1a06e5c-6d71-4944-80b5-71ccbc399992,Control Panel Assembly,197,566271.58,111555501.26,1
140152ff-512b-4b80-a07d-705e772eb4e5,f24c1b32-429d-42a1-b1d7-0879232993c3,995da2f5-ef48-4b46-8044-880a41cd6fbc,Printer Paper A4,8,2377323.44,19018587.52,2
a8f58727-0a98-42ad-8e5d-9e6c1b35d1ec,f24c1b32-429d-42a1-b1d7-0879232993c3,fbe7ef65-18fa-4322-94f3-58c2d1db0c30,Drive Belt,98,1237713.75,121295947.5,3
c67dbf09-c958-4888-ad6a-e2de2ef784fd,f24c1b32-429d-42a1-b1d7-0879232993c3,08f89347-5501-4713-8dbc-24e5c72d9c5c,UPS System 3kVA,133,29266.54,3892449.82,4
9b31e54a-1adc-4e48-b52a-26e58fffb2d6,f24c1b32-429d-42a1-b1d7-0879232993c3,721da05d-f143-4175-9fa8-67763f701bfc,Stapler Heavy Duty,43,211694.78,9102875.54,5
62cd667b-f75d-4a3f-b4b0-5fa2bff2b13b,6483216a-ffac-4cfb-b538-c9d8506a2e74,a90c07b5-63ee-47f4-b1cd-4126e335950f,Wood Planks,99,1059102.26,104851123.74,1
f51e40dc-905f-423f-94dc-395fc34bd722,6483216a-ffac-4cfb-b538-c9d8506a2e74,32e1050d-e9db-4baa-ae30-ed8b9b1d4084,Network Switch 24-port,71,1623449.33,115264902.43,2
7536e96c-ebe6-4f90-81d1-cc870eb4aabe,6483216a-ffac-4cfb-b538-c9d8506a2e74,a01f14c2-abeb-44af-9d5b-6fe3c990cf20,Filter Element,13,568940.31,7396224.03,3
a5184e9b-950e-4899-b220-42c8a5d07e2b,89637ab2-1685-4a82-be20-14f4f8029dc3,3db1bf55-9ebd-4358-81c8-28d2b2bd6041,Switchgear Unit,47,2370300.37,111404117.39,1
b775e7d7-317b-47b1-9b9c-7838eb580b11,89637ab2-1685-4a82-be20-14f4f8029dc3,1b189697-525e-4690-972d-446b691a75dd,Laptop Dell Latitude,163,798870.3,130215858.9,2
