id,journal_ref,entry_date,account_code,account_id,description,debit_amount,credit_amount,net_amount,status,source,posted_by,currency,created_at
9a696745-a512-4012-8aff-9415b3ac2512,JE-0000001,2024-01-01,5201,a92ae34d-c81a-4d52-b245-da6ead7d2169,Rent Payment,814356.01,0,814356.01,Posted,Manual,a1b8d0bb-5c83-4a28-8749-631b96fca46c,NGN,2026-02-23 10:54:51.831265
2d8b4187-a135-4536-a121-cdcff36c5381,JE-0000001,2024-01-01,1001,f02276c0-bff6-4dd4-8c15-f183f81a4669,Rent Payment,0,814356.01,-814356.01,Posted,Manual,0e26b1d2-8b1b-4bd8-a9de-dfbcc5d6c82a,NGN,2026-02-23 10:54:51.831290
67516c09-1138-4e83-a491-09be63b7bdaf,JE-0000002,2024-01-01,1201,092879de-8038-45e8-b46d-b73f87b0e0ef,Material Purchase,2978575.36,0,2978575.36,Posted,Manual,30f694cb-7102-4630-a4ca-7acdccb754cc,NGN,2026-02-23 10:54:51.831313
e28b9b42-c82e-4836-82b5-3b350a1382cd,JE-0000002,2024-01-01,2001,02c4079b-8eb7-4bf9-b9a4-9a8cd9e97d85,Material Purchase,0,2978575.36,-2978575.36,Posted,Manual,1b995d09-0776-4717-ba72-c9585f7c675b,NGN,2026-02-23 10:54:51.831328
90d66ce8-f347-4861-b5e1-a6013e290883,JE-0000003,2024-01-01,5301,acabf92f-6572-45e7-9738-796072b736de,Legal Fees,1973112.26,0,1973112.26,Posted,Manual,059f7d32-2a53-4066-a6c0-e6010bdd4aed,NGN,2026-02-23 10:54:51.831358
c3c32106-9228-4e56-abb8-07e7f0733be3,JE-0000003,2024-01-01,1001,f02276c0-bff6-4dd4-8c15-f183f81a4669,Legal Fees,0,1973112.26,-1973112.26,Posted,Manual,fa5748e6-3969-42d9-a734-d67d41d569eb,NGN,2026-02-23 10:54:51.831393
5487098b-a7bb-442d-8234-0f108c517748,JE-0000004,2024-01-01,1100,39a3ee83-f10e-4792-a920-1bcf2e79b8f7,VAT Collection,317993.58,0,317993.58,Posted,Manual,7b36f4d5-f017-4523-af22-d6ce2a58ddad,NGN,2026-02-23 10:54:51.831411
ff133bb8-3b5b-4400-83a1-f6b2eb504580,JE-0000004,2024-01-01,2200,cb6e0b4e-ee0f-43f4-b506-965d0669ddf0,VAT Collection,0,317993.58,-317993.58,Posted,Manual,79d02cd6-dbee-4ae7-bceb-ab82ff6d23c7,NGN,2026-02-23 10:54:51.831425
eda800c7-252b-44d5-935f-2abe2842fb85,JE-0000005,2024-01-01,1100,39a3ee83-f10e-4792-a920-1bcf2e79b8f7,VAT Collection,775853.71,0,775853.71,Posted,System,15407f62-ff85-47c6-83a5-b4962d775fac,NGN,2026-02-23 10:54:51.831441
1a24ddee-889c-4169-a698-8b8d785be3a2,JE-0000005,2024-01-01,2200,cb6e0b4e-ee0f-43f4-b506-965d0669ddf0,VAT Collection,0,775853.71,-775853.71,Posted,Manual,e0ac1ea6-2139-4814-aed7-8e6908734903,NGN,2026-02-23 10:54:51.831456
35701610-e6cd-4d4b-9af5-e156ffa91fc7,JE-0000006,2024-01-01,5100,379cf6b4-e5ff-4165-aba1-82b1f72ab329,Salary Payment,1747706.67,0,1747706.67,Posted,System,d8ac4794-b742-4182-8d98-3930c190e26c,NGN,2026-02-23 10:54:51.831479
fda309a8-7c24-4fb7-b11c-3e20341d6835,JE-0000006,2024-01-01,1001,f02276c0-bff6-4dd4-8c15-f183f81a4669,Salary Payment,0,1747706.67,-1747706.67,Posted,Manual,57c3747a-e1e6-4966-842c-1b75432a465b,NGN,2026-02-23 10:54:51.831494
e9a4da40-bc77-485e-8b48-6a4c50871a81,JE-0000007,2024-01-01,6000,b708f55d-cc87-468d-8f49-3b9ebb711af8,Bank Charges,3808.84,0,3808.84,Posted,System,fe54ebbb-2c0c-4009-a811-ee089e7dec77,NGN,2026-02-23 10:54:51.831510
648095ce-75ce-4240-9422-d5ebad1d2bea,JE-0000007,2024-01-01,1001,f02276c0-bff6-4dd4-8c15-f183f81a4669,Bank Charges,0,3808.84,-3808.84,Posted,System,e025cf83-1169-4cf0-a84c-f838f6987536,NGN,2026-02-23 10:54:51.831524
2d9b1481-deb8-4450-8ce9-7035671cb07f,JE-0000008,2024-01-01,5400,046d1d5b-e628-4847-9463-8bcf344284ea,Marketing Expense,478986.86,0,478986.86,Posted,Manual,941bca12-f90a-4004-a85c-792003442bc3,NGN,2026-02-23 10:54:51.831541
72da0b3e-2485-430a-b45e-1317f40138f5,JE-0000008,2024-01-01,1001,f02276c0-bff6-4dd4-8c15-f183f81a4669,Marketing Expense,0,478986.86,-478986.86,Posted,System,e025cf83-1169-4cf0-a84c-f838f6987536,NGN,2026-02-23 10:54:51.831555
47757104-1549-41e3-9042-fd2883ba02a5,JE-0000009,2024-01-01,1001,f02276c0-bff6-4dd4-8c15-f183f81a4669,Cash Receipt,6024578.57,0,6024578.57,Posted,System,311c93e6-cbbe-44cc-ab78-18ec527f6743,NGN,2026-02-23 10:54:51.831571
d1c15253-6511-4838-8549-61a54023e049,JE-0000009,2024-01-01,1100,39a3ee83-f10e-4792-a920-1bcf2e79b8f7,Cash Receipt,0,6024578.57,-6024578.57,Posted,System,6c9f29c5-5d5b-4a5d-afd0-14ab8be91abf,NGN,2026-02-23 10:54:51.831586
2aa1a44d-2623-4ddb-92b2-e86eaf4864db,JE-0000010,2024-01-01,5500,4e5cc78f-620c-411d-9fe3-3c08b379c217,Travel Expense,314683.73,0,314683.73,Posted,System,975e0078-821c-4ac7-8308-f70a0a6fdc87,NGN,2026-02-23 10:54:51.831601
e127694f-d464-43da-b73c-0cbbf74a87fd,JE-0000010,2024-01-01,1001,f02276c0-bff6-4dd4-8c15-f183f81a4669,Travel Expense,0,314683.73,-314683.73,Posted,Manual,e0ac1ea6-2139-4814-aed7-8e6908734903,NGN,2026-02-23 10:54:51.831625
c1e2d427-7623-4677-962c-a3010e8f2358,JE-0000011,2024-01-02,6000,b708f55d-cc87-468d-8f49-3b9ebb711af8,Bank Charges,31981.03,0,31981.03,Posted,Manual,e17e28aa-8f76-404b-9504-67aacbc32332,NGN,2026-02-23 10:54:51.831650
98fb17c4-bfa0-4f8a-8289-9b97f3db1f2c,JE-0000011,2024-01-02,1001,f02276c0-bff6-4dd4-8c15-f183f81a4669,Bank Charges,0,31981.03,-31981.03,Posted,System,b8ec9f4f-63bf-4feb-b095-a025fd0e0dde,NGN,2026-02-23 10:54:51.831664
f9a00ea8-a698-490b-99a6-0581d4dd6455,JE-0000012,2024-01-02,5700,0086912e-4210-4f74-9cc6-0b4c3ac15c6c,Insurance,1255303.36,0,1255303.36,Posted,Manual,47f251d8-2fd2-435e-b6ef-d85872ec57cc,NGN,2026-02-23 10:54:51.831680
368798e4-3901-43c3-91e4-8ff9d3536de2,JE-0000012,2024-01-02,1001,f02276c0-bff6-4dd4-8c15-f183f81a4669,Insurance,0,1255303.36,-1255303.36,Posted,Manual,1b995d09-0776-4717-ba72-c9585f7c675b,NGN,2026-02-23 10:54:51.831693
9f3e012a-7a01-471c-9eed-fe9f7519f5cf,JE-0000013,2024-01-02,4002,0fde892d-0bc6-4f67-beaf-3b31fd265b3e,Service Revenue,235602.25,0,235602.25,Posted,Manual,ff57854e-5869-4d57-a3cc-507538ef6f24,NGN,2026-02-23 10:54:51.831709
ba0d06da-c683-429f-8c62-04fb7ec7ad45,JE-0000013,2024-01-02,1100,39a3ee83-f10e-4792-a920-1bcf2e79b8f7,Service Revenue,0,235602.25,-235602.25,Posted,Manual,3e057cef-fddd-4b26-825b-4bdf15b4dfc2,NGN,2026-02-23 10:54:51.831723
cf743c4c-1f7e-47d6-a7fb-3ca139a69309,JE-0000014,2024-01-02,5203,a511c6cc-4fc4-4cb5-bbb6-69be52d7e6bd,Internet & Telecom,94541.26,0,94541.26,Posted,System,ec6961cd-8d1f-40b3-9ca2-8788eedb7a4a,NGN,2026-02-23 10:54:51.831738
