id,sales_order_id,item_id,item_name,quantity,unit_price,line_total,line_number
2f2a1438-9b19-4be9-96c6-7e7ecaef6f5e,cbab9e9a-a05f-4108-ab65-4234e2c03c1b,591fe981-6a91-44ce-ba7e-b788c16d6732,Bearing Assembly,32,2362731.1,75607395.2,1
dba4f25a-f8f6-4da3-ad12-ed04e72b45be,cbab9e9a-a05f-4108-ab65-4234e2c03c1b,591fe981-6a91-44ce-ba7e-b788c16d6732,Bearing Assembly,38,1220721.95,46387434.1,2
7f05529c-b1a7-4df2-a7c8-f5b3cbdf1fcf,cbab9e9a-a05f-4108-ab65-4234e2c03c1b,995da2f5-ef48-4b46-8044-880a41cd6fbc,Printer Paper A4,37,4148959.3,153511494.1,3
d01e3fa7-5980-4cb6-8dc2-aa8ab639aef7,cbab9e9a-a05f-4108-ab65-4234e2c03c1b,32e1050d-e9db-4baa-ae30-ed8b9b1d4084,Network Switch 24-port,4,1675911.78,6703647.12,4
ae62433b-6176-4b37-b47b-7ce3b7f8712d,cbab9e9a-a05f-4108-ab65-4234e2c03c1b,11bbd009-fc98-4733-80fe-dd7767b7beaf,Glass Panels,41,4239671.36,173826525.76,5
c3d7cc82-24b1-4f41-a06b-371d68974e7a,cbab9e9a-a05f-4108-ab65-4234e2c03c1b,838ea1fc-c069-4954-9093-544f7e6d50b9,External Hard Drive 2TB,27,4244595.14,114604068.78,6
6a78dbcd-8d37-4f7f-99d8-46ac15eb176f,b9c85d45-35d0-482d-9ebd-2485bd27a8e8,71d61c57-d696-4d75-8582-1b3c8ecf9690,Gasket Set,15,3574308.74,53614631.1,1
c4df19eb-8182-42dd-af57-53b1026aeeb1,b9c85d45-35d0-482d-9ebd-2485bd27a8e8,9e5b934f-aa81-4c0f-8d69-2dab275bdcc9,Copper Wire,28,2886252.73,80815076.44,2
b2404300-66a6-416b-aee5-04f58da0c697,b9c85d45-35d0-482d-9ebd-2485bd27a8e8,2b688057-2ad2-42f5-9011-000a2a98adc5,Cement,18,4465457.21,80378229.78,3
dc0e2b88-387f-4aeb-9977-c97b12ebabd9,b9c85d45-35d0-482d-9ebd-2485bd27a8e8,e8d51b45-9c55-44c0-bb20-b027eb684c10,Server Rack Mount,31,593534.29,18399562.99,4
8e5935c5-2c69-43ad-a813-9acdd26c1ccc,b9c85d45-35d0-482d-9ebd-2485bd27a8e8,6e7fe3d5-f7be-4429-b29b-3c6d81df3080,File Folders Box,29,3490597.06,101227314.74,5
2d789c1f-8c0d-4477-a01f-b0719c328fb6,6344ebb6-fbdd-41b0-bc90-f458b5852ebc,591fe981-6a91-44ce-ba7e-b788c16d6732,Bearing Assembly,15,2543103.37,38146550.55,1
edc5850d-78b8-4b26-8c7c-21984e9f3c62,6344ebb6-fbdd-41b0-bc90-f458b5852ebc,721da05d-f143-4175-9fa8-67763f701bfc,Stapler Heavy Duty,39,4268734.42,166480642.38,2
bcdab4c4-2042-4e74-b525-08f8e12898fd,6344ebb6-fbdd-41b0-bc90-f458b5852ebc,619ee810-baaf-46ca-9cd0-c80d29545d05,Hydraulic Pump,9,4417035.23,39753317.07,3
48b8a4b8-6c5f-4857-833f-58455caeabe1,2a149b01-3a38-4585-918b-e865c309dc0f,67f3b62b-71f2-43d7-b22e-0ca57db795e1,Transformer 500kVA,40,1043970.87,41758834.8,1
e221e05b-36d0-4529-949d-d7b94754d767,2a149b01-3a38-4585-918b-e865c309dc0f,a90c07b5-63ee-47f4-b1cd-4126e335950f,Wood Planks,43,2419619.93,104043656.99,2
aa32f2bf-5400-4afc-8703-474303579817,2a149b01-3a38-4585-918b-e865c309dc0f,446c5384-9baa-4e3c-b11a-7f11ba582acd,Electric Motor 5HP,13,790007.33,10270095.29,3
7d530cef-0f46-4e57-b80f-2b191bf80ad4,2a149b01-3a38-4585-918b-e865c309dc0f,71d61c57-d696-4d75-8582-1b3c8ecf9690,Gasket Set,7,3969477.45,27786342.15,4
021e1c2f-a429-4ba1-8dab-9b18fd70654d,b5b93f07-b2ec-4aba-99e2-7a28518a76ac,6e7fe3d5-f7be-4429-b29b-3c6d81df3080,File Folders Box,44,801441.27,35263415.88,1
fa73d7e2-9309-45cf-8512-db2172641483,b5b93f07-b2ec-4aba-99e2-7a28518a76ac,fbe7ef65-18fa-4322-94f3-58c2d1db0c30,Drive Belt,3,4036009.56,12108028.68,2
f925b69c-5e8c-405a-a1ef-f09ff26eabd5,b5b93f07-b2ec-4aba-99e2-7a28518a76ac,721da05d-f143-4175-9fa8-67763f701bfc,Stapler Heavy Duty,28,578706.77,16203789.56,3
92131415-1e3f-4e6a-8713-8fcb1ac75d84,7865f04a-5a37-42ee-8681-34888498afa9,3db1bf55-9ebd-4358-81c8-28d2b2bd6041,Switchgear Unit,10,4268506.66,42685066.6,1
34542e6a-1aa6-461c-b98c-7b61a70b23d4,227a7c83-66a1-4ab8-8473-9aa3d1829926,11bbd009-fc98-4733-80fe-dd7767b7beaf,Glass Panels,36,219427.49,7899389.64,1
d7ba5029-581e-49f4-9a56-f0091d6a6353,594d9e02-7829-4a36-bfee-059669c57d5e,591fe981-6a91-44ce-ba7e-b788c16d6732,Bearing Assembly,49,2534424.12,124186781.88,1
81b3bc3b-9aa4-4cc1-b486-2326b3e0b415,594d9e02-7829-4a36-bfee-059669c57d5e,11bbd009-fc98-4733-80fe-dd7767b7beaf,Glass Panels,10,3238993.92,32389939.2,2
acc39b5e-5428-4497-bec7-b19ef7b4f009,594d9e02-7829-4a36-bfee-059669c57d5e,721da05d-f143-4175-9fa8-67763f701bfc,Stapler Heavy Duty,9,623687.51,5613187.59,3
a3849821-5128-4875-95cb-22e7331d1f8c,594d9e02-7829-4a36-bfee-059669c57d5e,1945c600-521c-49ad-96d9-54472e5b76b5,Cable Tray Set,29,4848486.97,140606122.13,4
7433a5a9-d24b-4825-8fe4-54dc1ecd5aa0,594d9e02-7829-4a36-bfee-059669c57d5e,ad1a7ae7-5020-4e50-96cd-992c96ddbd57,Steel Sheets,16,4175718.72,66811499.52,5
316de8de-1057-4996-97e7-c3c501e9d66c,594d9e02-7829-4a36-bfee-059669c57d5e,a01f14c2-abeb-44af-9d5b-6fe3c990cf20,Filter Element,22,1440923.92,31700326.24,6
31bedab3-b3e2-442a-937a-c25fb16026b9,ba478cc9-92ae-4f33-b9f5-0d22531e1595,e8d51b45-9c55-44c0-bb20-b027eb684c10,Server Rack Mount,15,698591.72,10478875.8,1
57f77f2d-1df3-4c5b-acad-afada036ab08,ba478cc9-92ae-4f33-b9f5-0d22531e1595,838ea1fc-c069-4954-9093-544f7e6d50b9,External Hard Drive 2TB,27,4590920.09,123954842.43,2
1248fd59-65a0-4b0f-b1fa-f0c6bfff2cec,ba478cc9-92ae-4f33-b9f5-0d22531e1595,619ee810-baaf-46ca-9cd0-c80d29545d05,Hydraulic Pump,34,3975090.66,135153082.44,3
aa3da88f-dc93-4801-9bd8-08a11db55cab,ba478cc9-92ae-4f33-b9f5-0d22531e1595,1b189697-525e-4690-972d-446b691a75dd,Laptop Dell Latitude,2,2218467.66,4436935.32,4
48f0a5db-ace0-4875-9fc6-7a5610f44ba6,ba478cc9-92ae-4f33-b9f5-0d22531e1595,ad1a7ae7-5020-4e50-96cd-992c96ddbd57,Steel Sheets,46,4033171.86,185525905.56,5
16dde1cc-7e81-4164-a03e-a468eb580255,3726f118-983a-40ea-baa9-3d68cb2c6eb9,66974d41-f881-4f2b-91be-3812f0f50e4c,Aluminum Rods,43,4613369.12,198374872.16,1
40d0caae-1397-451c-b49f-c3eb6441c22a,3726f118-983a-40ea-baa9-3d68cb2c6eb9,dd82dd6a-ccb9-4d8b-8105-49d9e3e88170,Solar Panel 300W,37,298471.05,11043428.85,2
4bf76e3f-cb06-476e-8cf1-e0927bbb96da,3726f118-983a-40ea-baa9-3d68cb2c6eb9,995da2f5-ef48-4b46-8044-880a41cd6fbc,Printer Paper A4,27,2015994.06,54431839.62,3
0003f360-7cf0-4ca5-b4fc-882a80c4ef05,3726f118-983a-40ea-baa9-3d68cb2c6eb9,3bd59515-6f8e-4fe3-95ee-2dc9a7195e3b,Toner Cartridge,47,3716060.54,174654845.38,4
e5585cea-69d5-4977-aba6-bc5609760f23,affb100e-bc51-40e6-b5e3-e3a794e12d3f,591fe981-6a91-44ce-ba7e-b788c16d6732,Bearing Assembly,45,1732800.56,77976025.2,1
629d61d7-5e65-4c6b-98e8-9967e0eb4e21,affb100e-bc51-40e6-b5e3-e3a794e12d3f,32e1050d-e9db-4baa-ae30-ed8b9b1d4084,Network Switch 24-port,50,994505.81,49725290.5,2
6dd98b28-a70b-438e-a99e-09e7ed9fd23c,affb100e-bc51-40e6-b5e3-e3a794e12d3f,3bd59515-6f8e-4fe3-95ee-2dc9a7195e3b,Toner Cartridge,6,194481.16,1166886.96,3
81f865bd-f2c0-4696-970a-63585daf863b,affb100e-bc51-40e6-b5e3-e3a794e12d3f,721da05d-f143-4175-9fa8-67763f701bfc,Stapler Heavy Duty,25,3628242.42,90706060.5,4
f31544f0-f890-4ad2-8908-2502c71225dd,affb100e-bc51-40e6-b5e3-e3a794e12d3f,6a358237-1470-4595-a111-10e74d471f82,Industrial Generator 50kVA,34,4959700.61,168629820.74,5
467b919e-f0dd-443d-925d-79312fefb303,365a4503-3360-47d3-9743-aadc67d75e0e,721da05d-f143-4175-9fa8-67763f701bfc,Stapler Heavy Duty,49,3182070.67,155921462.83,1
06d3d3e8-a71e-4c91-9657-8c3f3687ff87,365a4503-3360-47d3-9743-aadc67d75e0e,9e5b934f-aa81-4c0f-8d69-2dab275bdcc9,Copper Wire,2,4452693.5,8905387.0,2
ca941f00-b266-48d9-ba15-5894b9df1766,365a4503-3360-47d3-9743-aadc67d75e0e,d1a06e5c-6d71-4944-80b5-71ccbc399992,Control Panel Assembly,16,4162822.64,66605162.24,3
24ca7ccb-fce2-45ea-9225-2d6a69ea6f03,8bc378c5-fd83-48e4-ad28-d21a37925bc2,fbe7ef65-18fa-4322-94f3-58c2d1db0c30,Drive Belt,23,627826.96,14440020.08,1
864968c5-b72d-484f-b3a0-dfa48c0b28e7,8bc378c5-fd83-48e4-ad28-d21a37925bc2,12c19195-59af-4a91-aeb7-f0ef4f664b83,Rubber Seals,29,1496825.95,43407952.55,2
e45a73c7-60c9-49e3-8145-e0024da63e8e,8bc378c5-fd83-48e4-ad28-d21a37925bc2,ad1a7ae7-5020-4e50-96cd-992c96ddbd57,Steel Sheets,30,1701511.67,51045350.1,3
5ad0627b-6089-447b-ae1e-a1e57ef49f32,8bc378c5-fd83-48e4-ad28-d21a37925bc2,eacc84b1-be15-40fe-849e-0e9b2eef4512,LED Light Panel,48,4945110.39,237365298.72,4
3829a449-c1ef-4d2b-b7f5-cbfd51f93341,8bc378c5-fd83-48e4-ad28-d21a37925bc2,08f89347-5501-4713-8dbc-24e5c72d9c5c,UPS System 3kVA,23,1503016.03,34569368.69,5
