id,order_number,customer_id,order_date,status,subtotal,vat_amount,total_amount,currency,sales_rep_id,expected_delivery,created_at
cbab9e9a-a05f-4108-ab65-4234e2c03c1b,SO-000001,a2d2d5a1-401b-4a0c-8aac-decf5e9607f4,2024-06-19,Completed,570640565.06,42798042.38,613438607.44,NGN,a0907a8d-bbd3-4029-8b63-18b3ff63432c,2025-08-15,2026-02-23 10:54:51.463545
b9c85d45-35d0-482d-9ebd-2485bd27a8e8,SO-000002,6eb2df43-1d23-4a37-a618-7969dc604aa4,2025-02-13,Pending,334434815.05,25082611.13,359517426.18,NGN,f425c095-0e0b-427a-9a01-773901b2fe8b,2024-06-14,2026-02-23 10:54:51.463616
6344ebb6-fbdd-41b0-bc90-f458b5852ebc,SO-000003,4abf8dfc-8d0a-4c32-af14-b856826f1c96,2024-07-15,Pending,244380510.0,18328538.25,262709048.25,NGN,e025cf83-1169-4cf0-a84c-f838f6987536,2025-12-29,2026-02-23 10:54:51.463654
2a149b01-3a38-4585-918b-e865c309dc0f,SO-000004,9b5437db-1480-4770-9a5a-ef3ebee7c409,2025-03-02,Completed,183858929.23,13789419.69,197648348.92,NGN,b3c42a73-814d-4e7c-aa65-82a3abcb77a0,2024-11-06,2026-02-23 10:54:51.463707
b5b93f07-b2ec-4aba-99e2-7a28518a76ac,SO-000005,f5b6aa92-888f-4bed-a1be-366d568a7e2a,2024-01-19,Completed,63575234.120000005,4768142.56,68343376.68,NGN,79d02cd6-dbee-4ae7-bceb-ab82ff6d23c7,2024-05-03,2026-02-23 10:54:51.463759
7865f04a-5a37-42ee-8681-34888498afa9,SO-000006,a936c0a1-7579-4b02-b818-cb29deb3689b,2024-12-14,Completed,42685066.6,3201380.0,45886446.6,NGN,87f64f8d-b65f-440e-ad22-dc2e0e26944f,2025-06-11,2026-02-23 10:54:51.463792
227a7c83-66a1-4ab8-8473-9aa3d1829926,SO-000007,8e3efc2d-4843-47a5-92ae-96238147bc30,2025-04-13,Completed,7899389.64,592454.22,8491843.86,NGN,b0c1b232-c596-4d15-a02e-8a88bdc299e1,2024-06-20,2026-02-23 10:54:51.463828
594d9e02-7829-4a36-bfee-059669c57d5e,SO-000008,50d37628-f6a8-427d-b6f6-957ab77bc38c,2024-06-09,Completed,401307856.55999994,30098089.24,431405945.8,NGN,dd83058f-f003-4af8-b701-be17f58458f4,2024-03-28,2026-02-23 10:54:51.463918
ba478cc9-92ae-4f33-b9f5-0d22531e1595,SO-000009,9ba80749-9466-4cb0-97ca-7d747f34fed9,2024-09-08,Completed,459549641.55,34466223.12,494015864.67,NGN,15407f62-ff85-47c6-83a5-b4962d775fac,2024-03-27,2026-02-23 10:54:51.463986
3726f118-983a-40ea-baa9-3d68cb2c6eb9,SO-000010,a933b5ef-65f7-4d62-8e1b-fe523f7199cd,2025-03-20,Completed,438504986.01,32887873.95,471392859.96,NGN,96049166-34cc-443f-9619-31e6cad7bfe1,2024-01-09,2026-02-23 10:54:51.464098
affb100e-bc51-40e6-b5e3-e3a794e12d3f,SO-000011,738160da-51c8-4d69-9e8b-1e22a47a8a69,2025-07-11,Cancelled,388204083.9,29115306.29,417319390.19,NGN,fc389fa0-930b-4018-8fe9-7b6e8f14271f,2024-08-06,2026-02-23 10:54:51.464176
365a4503-3360-47d3-9743-aadc67d75e0e,SO-000012,824900e9-b58b-484d-b397-6e812e40db57,2025-06-07,In Progress,231432012.07000002,17357400.91,248789412.98,NGN,1f024d78-c38e-4783-a344-04db3d2585df,2025-03-08,2026-02-23 10:54:51.464215
8bc378c5-fd83-48e4-ad28-d21a37925bc2,SO-000013,9c3ba466-1039-47f3-aed6-813a056ce0bf,2025-01-16,Completed,467977380.76,35098303.56,503075684.32,NGN,a0907a8d-bbd3-4029-8b63-18b3ff63432c,2024-09-10,2026-02-23 10:54:51.464298
b846da39-ba5a-4829-a7be-afd4fd5edda1,SO-000014,fbbcc329-bbf8-413a-913d-e063e3986145,2024-07-16,Completed,69175196.59,5188139.74,74363336.33,NGN,951a886e-c227-4138-8a05-2fef2f24c2d2,2025-02-16,2026-02-23 10:54:51.464357
929b20d7-07d5-4783-9023-f4a1eb76cc6b,SO-000015,03287ae7-0f53-4507-b502-c66e55c38241,2025-05-25,Pending,379963454.59,28497259.09,408460713.68,NGN,39298160-e0b1-4374-b99c-417eb5ad876d,2025-04-11,2026-02-23 10:54:51.464421
a2aa88c1-8757-4a0d-a394-01f34bc57f05,SO-000016,5ad63bcf-45ab-4ce1-8493-dae6b207b136,2024-02-03,Completed,103153950.04,7736546.25,110890496.29,NGN,e924e942-2636-4d55-a146-0504952bfdae,2024-05-26,2026-02-23 10:54:51.464474
8452428b-0e2e-4794-853f-68cacfae91bd,SO-000017,93955947-52ad-4d8e-8c59-cffa7bd711ea,2024-10-17,Completed,22387558.3,1679066.87,24066625.17,NGN,13f74086-e15f-479b-aa48-73d5d60e788b,2025-05-07,2026-02-23 10:54:51.464514
cff0277f-a36f-4642-b2f2-562e6f19a6b1,SO-000018,e2987e81-416a-4202-b75f-ad5f85903d84,2024-12-11,Pending,212199322.67,15914949.2,228114271.87,NGN,bc3fd319-3ae4-4f1e-99dc-7bb2b1d37cd9,2025-09-30,2026-02-23 10:54:51.464570
e561ca27-e4ea-4efd-ac93-86a4a35392a2,SO-000019,6a6df1a9-a481-44d0-9d34-b5d626bdb049,2025-01-31,Completed,230454462.82999998,17284084.71,247738547.54,NGN,d4e41eef-dd8a-4561-8426-35acee4f9fad,2025-07-26,2026-02-23 10:54:51.464616
97c5d980-633b-4af0-8d37-ae927d75ec19,SO-000020,646f2651-62f9-4f12-b848-57dedf9153e2,2025-08-13,Completed,236579936.22000003,17743495.22,254323431.44,NGN,7b36f4d5-f017-4523-af22-d6ce2a58ddad,2024-11-24,2026-02-23 10:54:51.464680
