id,invoice_id,customer_id,invoice_date,due_date,outstanding_amount,days_outstanding,aging_bucket,currency
0a4f45cf-da3a-4f11-8c68-ed55c13bf87c,e2c5f2d5-ad3b-4c6f-a618-ed4541467cf2,9b5437db-1480-4770-9a5a-ef3ebee7c409,2025-03-03,2025-04-02,197648348.92,257,Over 90,NGN
b8a3e4b0-dc98-4bd1-9a14-4c08323144cd,bd3149a1-c8fd-4a73-92ad-eabe6e648a5e,f5b6aa92-888f-4bed-a1be-366d568a7e2a,2024-01-23,2024-02-22,68343376.68,662,Over 90,NGN
0cc52f2d-8d3b-4b32-976c-054278b34c44,ed80f982-2b15-4b18-9bb0-eda266338e1c,50d37628-f6a8-427d-b6f6-957ab77bc38c,2024-06-11,2024-07-26,224192307.14,507,Over 90,NGN
f7db98fb-7ef1-472c-9242-ce34ec3cd981,a7ca24fa-86f0-4658-b75a-8cb23064680c,9ba80749-9466-4cb0-97ca-7d747f34fed9,2024-09-10,2024-10-25,103262919.83,416,Over 90,NGN
5fccc371-88b9-48f6-913f-a83d975a9c50,b1ac8915-fa0d-4828-83e5-9318bee7bc0f,a933b5ef-65f7-4d62-8e1b-fe523f7199cd,2025-03-22,2025-04-21,224809835.63,238,Over 90,NGN
56797ac1-8fc0-428f-9960-2e16de5b7a07,59661081-b7d3-4e2f-8753-7939b7fce275,824900e9-b58b-484d-b397-6e812e40db57,2025-06-11,2025-06-26,248789412.98,172,Over 90,NGN
4496b1f1-ea7d-4b9f-b38f-4f1308331669,5aed1d12-f2a0-40cc-b8e5-fb408e8134a6,9c3ba466-1039-47f3-aed6-813a056ce0bf,2025-01-16,2025-03-02,503075684.32,288,Over 90,NGN
95ad6d70-f8a9-4dc4-84ae-8195f6be0677,44ef0436-303b-4a22-80cd-62cd1a363b97,93955947-52ad-4d8e-8c59-cffa7bd711ea,2024-10-21,2024-12-05,24066625.17,375,Over 90,NGN
4a812c7a-f3ba-4da5-b081-18b5848587ab,9639765d-aa29-499d-b382-8d8a7449ed55,6a6df1a9-a481-44d0-9d34-b5d626bdb049,2025-01-31,2025-03-02,247738547.54,288,Over 90,NGN
40740899-511d-4ab6-b4ad-ba6524edab18,c3a51030-d3f3-438d-97e2-3ad441d77b5f,646f2651-62f9-4f12-b848-57dedf9153e2,2025-08-16,2025-08-31,254323431.44,106,Over 90,NGN
1aaa7a69-0020-49c4-8682-7d5653c079e2,6fe54393-de8a-4fca-9a77-6ac85cb8597b,20b377ac-7a10-452e-be22-240dac77392f,2026-01-04,2026-02-03,45763899.62,-50,Current,NGN
5d4c650e-8ccd-4f27-a785-9bcd04de3cbf,e6f8e06f-27bf-4d4a-b2af-49e8f74b1be5,65c76632-7a40-420a-aa11-ba26e7897d1f,2025-05-11,2025-06-25,157047690.47,173,Over 90,NGN
504ea779-8e36-411b-9d23-59b756b6b8c4,9dc2258f-d078-41c5-a5a1-870977ad5bd3,0681dbba-9802-4c2f-93bb-d0a737d6ac70,2024-09-11,2024-10-26,120797676.77,415,Over 90,NGN
ddb1d393-9442-47dd-8d51-bf49f1ce9d53,4e964a1c-fd2d-4a65-95f0-709710a5c137,8a6f8891-b1b8-4047-b7e2-87ff4442b8d7,2025-02-09,2025-02-24,6186608.39,294,Over 90,NGN
97f87595-b78d-4200-b167-cabb25a3ffcb,61257008-2dde-40a3-88bf-e513f01176c2,81f824ad-87c2-4b04-8648-ad40f0475a73,2025-11-29,2026-01-28,213612318.35,-44,Current,NGN
4842d7b6-842a-4cc2-a834-37b29a5c8c98,467c0913-6bbd-40b6-ac33-0cd7fab175df,31f9162b-94e1-4c37-95c4-1db60f07e11f,2024-01-13,2024-01-28,399669691.61,687,Over 90,NGN
e4d4c5d5-4fb6-417e-8726-187208760013,f32667ac-f004-4739-9587-4775241f71d1,c40c2ab9-c5f8-4a09-b7da-bffdc0cef2bb,2024-09-20,2024-10-20,219864418.13,421,Over 90,NGN
99d2fa27-c70e-48ee-bb2e-b2d15150c489,a70a0dc3-eadd-45c2-ad23-63ac86919831,65c76632-7a40-420a-aa11-ba26e7897d1f,2024-05-11,2024-05-26,92636086.68,568,Over 90,NGN
8d4eb61a-c7cb-46b8-af24-5cab26308147,74c13ca0-aa66-4eee-8634-c705a9b3f28b,1cd59298-1290-4f24-87ed-7d108c51a4aa,2025-10-20,2025-12-04,46713143.71,11,Current,NGN
e8633a26-7d58-46fc-b9ed-c8895c8a774d,338aee33-82d3-4899-a622-643ce55e0996,278e2958-76e6-44a1-a030-a88942ecf424,2024-08-09,2024-09-08,158116185.39,463,Over 90,NGN
49e63d28-8e6c-45fc-b053-36494fdbe51f,ea884773-dbd7-4d58-9f68-c910eda7a819,2c79e899-de18-48bf-82c2-4c1f47a96e16,2024-09-05,2024-10-20,93522087.96,421,Over 90,NGN
329add9e-ab70-4d76-b475-7927c1561443,7bedf54d-03d4-42b0-8174-e344e7a96044,82948216-2ef6-4c7b-a8d7-416aaed25b3c,2024-09-10,2024-10-25,321947856.9,416,Over 90,NGN
a8f6d647-8b57-41f0-b8b5-68288e516e6d,f0fa4807-566a-4fa1-bf2e-8b94c118b4fa,fa70b183-3ec0-485f-ae3c-f64946121317,2025-04-09,2025-05-09,150416029.18,220,Over 90,NGN
5ec4febe-ba9b-4cea-8481-0d85b78819f2,057c54f0-a962-4701-95ac-723a4e7d7bd4,fb3886f3-2bd1-497d-abac-52adf560339e,2025-04-25,2025-05-10,198673380.1,219,Over 90,NGN
b15c168f-5299-4827-b1ef-a4824f6a3817,8ccc7461-be90-46fd-a803-efdc7e0a1260,27cc0ef4-35f4-43eb-8050-bbdd906f98b0,2025-12-03,2026-02-01,192916448.88,-48,Current,NGN
